Sınav,Ders,Alan,Konu,Sınav ID,Ders ID,Alan ID,Konu ID
TYT,Fizik,FIZIK BILIMINE GIRIŞ VE MADDE,Madde ve Özellikleri,tyt,tyt-fizik,tyt-fizik-fizik-bilimine-giris-ve-madde,tyt-fizik-fizik-bilimine-giris-ve-madde-madde-ve-ozellikleri
TYT,Fizik,HAREKET VE KUVVET,Hareket,tyt,tyt-fizik,tyt-fizik-hareket-ve-kuvvet,tyt-fizik-hareket-ve-kuvvet-hareket
TYT,Fizik,HAREKET VE KUVVET,Kuvvet,tyt,tyt-fizik,tyt-fizik-hareket-ve-kuvvet,tyt-fizik-hareket-ve-kuvvet-kuvvet
TYT,Fizik,ENERJI,"İş, Güç ve Enerji",tyt,tyt-fizik,tyt-fizik-enerji,tyt-fizik-enerji-is-guc-ve-enerji
TYT,Fizik,"ISI, SICAKLIK VE ELEKTRIK",Isı ve Sıcaklık,tyt,tyt-fizik,tyt-fizik-isi-sicaklik-ve-elektrik,tyt-fizik-isi-sicaklik-ve-elektrik-isi-ve-sicaklik
TYT,Fizik,"ISI, SICAKLIK VE ELEKTRIK",Elektrostatik,tyt,tyt-fizik,tyt-fizik-isi-sicaklik-ve-elektrik,tyt-fizik-isi-sicaklik-ve-elektrik-elektrostatik
TYT,Fizik,"ISI, SICAKLIK VE ELEKTRIK",Elektrik ve Manyetizma,tyt,tyt-fizik,tyt-fizik-isi-sicaklik-ve-elektrik,tyt-fizik-isi-sicaklik-ve-elektrik-elektrik-ve-manyetizma
TYT,Fizik,BASINÇ VE KALDIRMA KUVVETI,Basınç,tyt,tyt-fizik,tyt-fizik-basinc-ve-kaldirma-kuvveti,tyt-fizik-basinc-ve-kaldirma-kuvveti-basinc
TYT,Fizik,BASINÇ VE KALDIRMA KUVVETI,Kaldırma Kuvveti,tyt,tyt-fizik,tyt-fizik-basinc-ve-kaldirma-kuvveti,tyt-fizik-basinc-ve-kaldirma-kuvveti-kaldirma-kuvveti
TYT,Fizik,DALGALAR VE OPTIK,Dalgalar,tyt,tyt-fizik,tyt-fizik-dalgalar-ve-optik,tyt-fizik-dalgalar-ve-optik-dalgalar
TYT,Fizik,DALGALAR VE OPTIK,Optik,tyt,tyt-fizik,tyt-fizik-dalgalar-ve-optik,tyt-fizik-dalgalar-ve-optik-optik
TYT,Kimya,KIMYA BILIMI,Simyadan Kimyaya - Kimya Disiplinleri ve Kimyacıların Çalışma Alanları,tyt,tyt-kimya,tyt-kimya-kimya-bilimi,tyt-kimya-kimya-bilimi-simyadan-kimyaya-kimya-disiplinleri-ve-kimyacilarin-calisma-alanlari
TYT,Kimya,KIMYA BILIMI,Kimyanın Sembolik Dili - Kimya Uygulamalarında İş Sağlığı ve Güvenliği,tyt,tyt-kimya,tyt-kimya-kimya-bilimi,tyt-kimya-kimya-bilimi-kimyanin-sembolik-dili-kimya-uygulamalarinda-is-sagligi-ve-guvenligi
TYT,Kimya,ATOM VE PERIYODIK SISTEM,Atom Modelleri ve Atomun Yapısı,tyt,tyt-kimya,tyt-kimya-atom-ve-periyodik-sistem,tyt-kimya-atom-ve-periyodik-sistem-atom-modelleri-ve-atomun-yapisi
TYT,Kimya,ATOM VE PERIYODIK SISTEM,Periyodik Sistem,tyt,tyt-kimya,tyt-kimya-atom-ve-periyodik-sistem,tyt-kimya-atom-ve-periyodik-sistem-periyodik-sistem
TYT,Kimya,KIMYASAL TÜRLER ARASI ETKILEŞIMLER,Kimyasal Türler Arası Etkileşimler,tyt,tyt-kimya,tyt-kimya-kimyasal-turler-arasi-etkilesimler,tyt-kimya-kimyasal-turler-arasi-etkilesimler-kimyasal-turler-arasi-etkilesimler
TYT,Kimya,MADDENIN HALLERI,Katılar,tyt,tyt-kimya,tyt-kimya-maddenin-halleri,tyt-kimya-maddenin-halleri-katilar
TYT,Kimya,MADDENIN HALLERI,Sıvılar,tyt,tyt-kimya,tyt-kimya-maddenin-halleri,tyt-kimya-maddenin-halleri-sivilar
TYT,Kimya,MADDENIN HALLERI,Gazlar,tyt,tyt-kimya,tyt-kimya-maddenin-halleri,tyt-kimya-maddenin-halleri-gazlar
TYT,Kimya,MADDENIN HALLERI,Plazma,tyt,tyt-kimya,tyt-kimya-maddenin-halleri,tyt-kimya-maddenin-halleri-plazma
TYT,Kimya,DOĞA VE KIMYA,"Su, Hayat ve Çevre Kimyası",tyt,tyt-kimya,tyt-kimya-doga-ve-kimya,tyt-kimya-doga-ve-kimya-su-hayat-ve-cevre-kimyasi
TYT,Kimya,KIMYANIN TEMEL KANUNLARI VE HESAPLAMALAR,Kimyanın Temel Kanunları ve Mol Kavramı,tyt,tyt-kimya,tyt-kimya-kimyanin-temel-kanunlari-ve-hesaplamalar,tyt-kimya-kimyanin-temel-kanunlari-ve-hesaplamalar-kimyanin-temel-kanunlari-ve-mol-kavrami
TYT,Kimya,KIMYANIN TEMEL KANUNLARI VE HESAPLAMALAR,Kimyasal Tepkimeler - Kimyasal Tepkimelerde Hesaplamalar,tyt,tyt-kimya,tyt-kimya-kimyanin-temel-kanunlari-ve-hesaplamalar,tyt-kimya-kimyanin-temel-kanunlari-ve-hesaplamalar-kimyasal-tepkimeler-kimyasal-tepkimelerde-hesaplamalar
TYT,Kimya,KARIŞIMLAR,Karışımlar - Karışımları Ayırma Teknikleri,tyt,tyt-kimya,tyt-kimya-karisimlar,tyt-kimya-karisimlar-karisimlar-karisimlari-ayirma-teknikleri
TYT,Kimya,"ASITLER, BAZLAR VE TUZLAR","Asitler, Bazlar ve Tuzlar",tyt,tyt-kimya,tyt-kimya-asitler-bazlar-ve-tuzlar,tyt-kimya-asitler-bazlar-ve-tuzlar-asitler-bazlar-ve-tuzlar
TYT,Kimya,KIMYA HER YERDE,Yaygın Günlük Hayat Kimyasalları ve Gıdalar,tyt,tyt-kimya,tyt-kimya-kimya-her-yerde,tyt-kimya-kimya-her-yerde-yaygin-gunluk-hayat-kimyasallari-ve-gidalar
TYT,Biyoloji,YAŞAM BILIMI BIYOLOJI,Biyoloji ve Canlıların Ortak Özellikleri,tyt,tyt-biyoloji,tyt-biyoloji-yasam-bilimi-biyoloji,tyt-biyoloji-yasam-bilimi-biyoloji-biyoloji-ve-canlilarin-ortak-ozellikleri
TYT,Biyoloji,YAŞAM BILIMI BIYOLOJI,İnorganik Bileşikler,tyt,tyt-biyoloji,tyt-biyoloji-yasam-bilimi-biyoloji,tyt-biyoloji-yasam-bilimi-biyoloji-inorganik-bilesikler
TYT,Biyoloji,YAŞAM BILIMI BIYOLOJI,Karbonhidratlar - Lipitler - Proteinler,tyt,tyt-biyoloji,tyt-biyoloji-yasam-bilimi-biyoloji,tyt-biyoloji-yasam-bilimi-biyoloji-karbonhidratlar-lipitler-proteinler
TYT,Biyoloji,YAŞAM BILIMI BIYOLOJI,Enzimler - Vitaminler - Hormonlar,tyt,tyt-biyoloji,tyt-biyoloji-yasam-bilimi-biyoloji,tyt-biyoloji-yasam-bilimi-biyoloji-enzimler-vitaminler-hormonlar
TYT,Biyoloji,YAŞAM BILIMI BIYOLOJI,Nükleik Asitler - ATP,tyt,tyt-biyoloji,tyt-biyoloji-yasam-bilimi-biyoloji,tyt-biyoloji-yasam-bilimi-biyoloji-nukleik-asitler-atp
TYT,Biyoloji,HÜCRE,Hücrenin Yapısı ve Kısımları,tyt,tyt-biyoloji,tyt-biyoloji-hucre,tyt-biyoloji-hucre-hucrenin-yapisi-ve-kisimlari
TYT,Biyoloji,HÜCRE,Hücre Zarından Madde Geçişleri,tyt,tyt-biyoloji,tyt-biyoloji-hucre,tyt-biyoloji-hucre-hucre-zarindan-madde-gecisleri
TYT,Biyoloji,CANLILAR DÜNYASI,Canlıların Çeşitliliği ve Sınıflandırılması,tyt,tyt-biyoloji,tyt-biyoloji-canlilar-dunyasi,tyt-biyoloji-canlilar-dunyasi-canlilarin-cesitliligi-ve-siniflandirilmasi
TYT,Biyoloji,CANLILAR DÜNYASI,Canlı Alemleri ve Özellikleri - Virüsler,tyt,tyt-biyoloji,tyt-biyoloji-canlilar-dunyasi,tyt-biyoloji-canlilar-dunyasi-canli-alemleri-ve-ozellikleri-virusler
TYT,Biyoloji,HÜCRE BÖLÜNMELERI,Mitoz ve Eşeysiz Üreme,tyt,tyt-biyoloji,tyt-biyoloji-hucre-bolunmeleri,tyt-biyoloji-hucre-bolunmeleri-mitoz-ve-eseysiz-ureme
TYT,Biyoloji,HÜCRE BÖLÜNMELERI,Mayoz ve Eşeyli Üreme,tyt,tyt-biyoloji,tyt-biyoloji-hucre-bolunmeleri,tyt-biyoloji-hucre-bolunmeleri-mayoz-ve-eseyli-ureme
